Item,Variable,Coefficient,Feature,,,,,,,
Muallim,negeri_dp_Perak_Muallim,-1.36E-01,0,0.00E+00,,,,,,
Perak Tengah,negeri_dp_Perak_PerakTengah,-2.41E-01,0,0.00E+00,,,,,,
Selama,negeri_dp_Perak_Selama,-2.42E-01,0,0.00E+00,,,,,,
Perlis,negeri_dp_Perlis_Perlis,-2.13E-01,0,0.00E+00,,,,,,
Barat Daya,negeri_dp_PulauPinang_BaratDaya,-7.00E-02,0,0.00E+00,,,,,,
S.P. Selatan,negeri_dp_PulauPinang_S.P.Selatan,-2.07E-01,0,0.00E+00,,,,,,
S.P.Tengah,negeri_dp_PulauPinang_S.P.Tengah,-1.95E-01,0,0.00E+00,,,,,,
S.P.Utara,negeri_dp_PulauPinang_S.P.Utara,-2.18E-01,0,0.00E+00,,,,,,
Timur Laut,negeri_dp_PulauPinang_TimurLaut,-1.08E-01,0,0.00E+00,,,,,,
Beaufort,negeri_dp_Sabah_Beaufort,-2.89E-01,0,0.00E+00,,,,,,
Beluran,negeri_dp_Sabah_Beluran,-3.93E-01,0,0.00E+00,,,,,,
Kalabakan,negeri_dp_Sabah_Kalabakan,-3.58E-01,0,0.00E+00,,,,,,
Keningau,negeri_dp_Sabah_Keningau,-2.81E-01,0,0.00E+00,,,,,,
Kinabatangan,negeri_dp_Sabah_Kinabatangan,-3.30E-01,0,0.00E+00,,,,,,
Kota Belud,negeri_dp_Sabah_KotaBelud,-3.64E-01,0,0.00E+00,,,,,,
Kota Kinabalu,negeri_dp_Sabah_KotaKinabalu,-2.95E-01,0,0.00E+00,,,,,,
Kota Marudu,negeri_dp_Sabah_KotaMarudu,-2.00E-01,0,0.00E+00,,,,,,
Kuala Penyu,negeri_dp_Sabah_KualaPenyu,-3.16E-01,0,0.00E+00,,,,,,
Kudat,negeri_dp_Sabah_Kudat,-2.25E-01,0,0.00E+00,,,,,,
Kunak,negeri_dp_Sabah_Kunak,-3.90E-01,0,0.00E+00,,,,,,
Lahad Datu,negeri_dp_Sabah_LahadDatu,-2.41E-01,0,0.00E+00,,,,,,
Nabawan,negeri_dp_Sabah_Nabawan,-2.57E-01,0,0.00E+00,,,,,,
Papar,negeri_dp_Sabah_Papar,-3.47E-01,0,0.00E+00,,,,,,
Penampang,negeri_dp_Sabah_Penampang,-2.47E-01,0,0.00E+00,,,,,,
Pitas,negeri_dp_Sabah_Pitas,-2.61E-01,0,0.00E+00,,,,,,
Putatan,negeri_dp_Sabah_Putatan,-2.79E-01,0,0.00E+00,,,,,,
Ranau,negeri_dp_Sabah_Ranau,-3.39E-01,0,0.00E+00,,,,,,
